No.,Time,Source,Source Port,Destination,Destination Port,Protocol,Length,Info
46618,1.772873761474903,192.168.1.71,54176,192.168.1.1,53,DNS,1467,Standard query 0xbc55 A VS-cam.u038.immedia-semi.com
46619,1.9173399830537976,192.168.1.71,54176,192.168.1.1,53,DNS,1467,Standard query 0xbc55 A VS-cam.u038.immedia-semi.com
46620,2.061806204632692,192.168.1.71,54176,192.168.1.1,53,DNS,1467,Standard query 0xbc55 A VS-cam.u038.immedia-semi.com
46621,2.2062724262115863,192.168.1.71,54176,192.168.1.1,53,DNS,1467,Standard query 0xbc55 A VS-cam.u038.immedia-semi.com
46622,2.319798778379896,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46623,2.433325130548206,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46624,2.546851482716516,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46625,2.6603778348848257,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46626,2.7739041870531356,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46627,2.8874305392214454,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46628,3.0009568913897553,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46629,3.114483243558065,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46630,3.228009595726375,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46631,3.341535947894685,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46632,3.4550623000629948,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46633,3.5685886522313046,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46634,3.6821150043996145,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46635,3.7956413565679243,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46636,3.909167708736234,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46637,4.022694060904544,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46638,4.136220413072854,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46639,4.249746765241164,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46640,4.363273117409474,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46641,4.4767994695777835,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46642,4.590325821746093,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46643,4.703852173914403,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46644,4.817378526082713,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46645,4.930904878251023,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46646,5.044431230419333,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46647,5.157957582587643,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46648,5.271483934755953,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46649,5.385010286924262,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46650,5.498536639092572,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46651,5.612062991260882,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46652,5.725589343429192,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46653,5.839115695597502,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46654,5.952642047765812,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46655,6.066168399934122,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46656,6.1796947521024315,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46657,6.293221104270741,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46658,6.406747456439051,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46659,6.520273808607361,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46660,6.633800160775671,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46661,6.747326512943981,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46662,6.860852865112291,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46663,6.9743792172806005,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46664,7.08790556944891,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46665,7.20143192161722,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46666,7.31495827378553,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
46667,7.42848462595384,192.168.1.231,53,192.168.1.1,54176,ICMP,60,Time-to-live exceeded (Time to live exceeded in transit)
